id,name,description,price,category,status
28,พะแนงไก่,พะแนงไก่ หอมเครื่องเทศ,90.0,Main Course,Inactive
29,แกงมัสมั่นไก่,มัสมั่นแกงแก้วตา หอมยี่หร่ารสร้อนแรง,90.0,Main Course,Inactive
30,ข้าวซอยไก่,ข้าวซอยไก่ตำหรับภาคเหนือ กลิ่นหอมถูกใจคนทุกภาค,90.0,Main Course,Inactive
31,ข้าวผัดหมู,ข้าวผัดหมูธรรมดา ที่ไม่ธรรมดา,70.0,Main Course,Active
32,ข้าวผัดไก่,ข้าวผัดไก่ธรรมดา ที่ไม่ธรรมดา,70.0,Main Course,Active
33,ปูผัดผงกะหรี่,ปูผัดผงกะหรี่ กลิ่นหอมเข้มข้น,120.0,Main Course,Inactive
34,แกงจืดเต้าหู้หมูสับ,แกงจืดเต้าหู้หมูสับ อุดมโปรตีนและเส้นใยจากผัก,60.0,Main Course,Inactive
35,แกงจืดไข่น้ำ,แกงจืดไข่น้ำ อุดมโปรตีนจากไข่,60.0,Main Course,Inactive
36,ข้าวไข่เจียวหมูสับ,ไข่เจียวหมูสับสุดเบสิก แต่รสชาติไม่เบสิกแน่นอน,70.0,Main Course,Active
37,ข้าวไข่เจียวแหนม,ไข่เจียวหมูสับสุดเบสิก แต่รสชาติไม่เบสิกแน่นอน,70.0,Main Course,Inactive
38,ไก่ผัดขิง,ไก่ผัดขิงรสชาติเผ็ดร้อน,70.0,Main Course,Inactive
39,คะน้าผัดน้ำมันหอย,คะน้าผัดน้ำมันหอย ผักกรอบอร่อย ฉ่ำน้ำซอส,75.0,Main Course,Active
40,ราดหน้าเส้นหมี่หมู,ราดหน้าน้ำข้น หอมเตาถ่าน,80.0,Main Course,Inactive
41,ข้าวผัดอเมริกัน,ข้าวผัดอเมริกัน ที่ต้นกำเนิดมาจากประเทศไทย,70.0,Main Course,Inactive
42,ข้าวผัดน้ำพริกลงเรือ,ข้าวผัดน้ำพริกลงเรือ พร้อมผักสดไม่อั้น,75.0,Main Course,Inactive
43,ข้าวไข่ข้นหมู,ข้าวไข่ข้น เมนูยอดฮิตถูกใจวัยรุ่น,70.0,Main Course,Inactive
44,ข้าวไข่ข้นไก่,ข้าวไข่ข้น เมนูยอดฮิตถูกใจวัยรุ่น,70.0,Main Course,Inactive
45,ผัดผักบุ้งไฟแดง,ผักบุ้งไฟแดง ที่กินแล้วไฟเขียวติดตลอดเวลา,100.0,Main Course,Inactive
46,ข้าวเปล่า,ข้าวเปล่า,10.0,Main Course,Active
47,ข้าวเหนียวมะม่วง,ข้าวเหนียวมูนหวานมันกับมะม่วงสุก,75.0,Dessert,Inactive
48,บัวลอยไข่หวาน,บัวลอยเจ้าเพื่อนยาก ทำไมจากข้าเร็วเกินไป,50.0,Dessert,Inactive
49,ลอดช่องน้ำกะทิ,ลอดช่องน้ำกะทิหอมหวาน,50.0,Dessert,Inactive
50,เฉาก๊วยนมสด,เฉาก๊วยเย็นสดชื่นในนมสด,50.0,Dessert,Inactive
51,ซ่าหริ่ม,ซ่าหริ่ม ไม่ใช่สลิ่มอย่างที่เขาหลอกลวง,50.0,Dessert,Inactive
52,ทับทิมกรอบ,ทับทิมกรอบ สีสันสดใส,50.0,Dessert,Inactive
53,ผลไม้ตามฤดูกาล,เซ็ตผลไม้ อุดมเส้นใยและโพลีฟีนอล,90.0,Dessert,Inactive
54,สาคูมะพร้าวอ่อนกะทิสด,สาคูสีแดงสวย กะทิสดหวานมัน,50.0,Dessert,Inactive
55,ข้าวเหนียวถั่วดำ,ข้าวเหนียวถั่วดำ,50.0,Dessert,Inactive
56,ขนมถ้วย,เมนูยอดฮิตประจำร้านก๋วยเตี๋ยว,25.0,Dessert,Inactive
57,น้ำเปล่า,น้ำดื่มบริสุทธิ์ขวดเล็ก,10.0,Beverage,Active
58,ชาเย็น,ชาไทยเย็นหอมหวาน,40.0,Beverage,Active
59,กาแฟเย็น,กาแฟเย็นสูตรเข้มข้น,45.0,Beverage,Active
60,โอเลี้ยง,โอเป็นคนใจดี,35.0,Beverage,Inactive
61,น้ำส้ม,อุดมความเจริญ,35.0,Beverage,Active
62,น้ำแดง,แนะนำให้กินเอง ไม่ต้องเอาไปไหว้เจ้าที่,30.0,Beverage,Active
63,ชานมไข่มุก,เมนูยอดฮิตของวัยสะรุ่น,45.0,Beverage,Inactive
64,น้ำใบเตย,น้ำใบเตย หวานสดชื่น,35.0,Beverage,Active
65,น้ำมะพร้าว,เฉาะสด ๆ จากลูก,35.0,Beverage,Active
66,โกโก้,โกโก้ กินเสร็จแล้วก็ gogo!,35.0,Beverage,Inactive
